0	0	1	67	67	110	80	0	300	300	67	67
0	1	1	67	67	110	80	1	300	300	67	67
0	2	1	67	67	80	80	2	300	300	67	67
0	3	1	70	70	80	110	3	300	300	70	70
0	4	1	72	72	110	80	4	300	300	72	72
0	5	1	67	67	110	80	5	300	300	67	67
0	6	1	67	67	110	80	6	300	300	67	67
0	7	1	67	67	80	80	7	300	300	67	67
0	8	1	65	65	80	110	8	300	300	65	65
0	9	1	66	66	110	80	9	300	300	66	66
1	0	1	67	67	110	80	10	300	300	67	67
1	1	1	67	67	110	80	11	300	300	67	67
1	2	1	67	67	80	80	12	300	300	67	67
1	3	1	70	70	80	110	13	300	300	70	70
1	4	1	72	72	110	80	14	300	300	72	72
1	5	1	67	67	110	80	15	300	300	67	67
1	6	1	67	67	110	80	16	300	300	67	67
1	7	1	67	67	80	80	17	300	300	67	67
1	8	1	65	65	110	80	18	300	300	65	65
1	9	1	66	66	110	80	19	300	300	66	66
2	0	1	67	67	110	80	20	300	300	67	67
2	1	1	67	67	110	80	21	300	300	67	67
2	2	1	67	67	80	80	22	300	300	67	67
2	3	1	70	70	80	110	23	300	300	70	70
2	4	1	72	72	110	80	24	300	300	72	72
2	5	1	67	67	110	80	25	300	300	67	67
2	6	1	67	67	80	110	26	300	300	67	67
2	7	1	67	67	110	80	27	300	300	67	67
2	8	1	65	65	110	80	28	300	300	65	65
2	9	1	66	66	110	80	29	300	300	66	66
3	0	1	60	60	110	80	30	300	300	60	60
3	1	1	60	60	110	80	31	300	300	60	60
3	2	1	60	60	80	80	32	300	300	60	60
3	3	1	63	63	110	80	33	300	300	63	63
3	4	1	65	65	110	80	34	300	300	65	65
3	5	1	60	60	110	80	35	300	300	60	60
3	6	1	60	60	110	80	36	300	300	60	60
3	7	1	60	60	110	80	37	300	300	60	60
3	8	1	58	58	80	110	38	300	300	58	58
3	9	1	59	59	110	80	39	300	300	59	59
4	0	1	60	60	80	80	40	300	300	60	60
4	1	1	60	60	80	110	41	300	300	60	60
4	2	1	60	60	80	80	42	300	300	60	60
4	3	1	63	63	110	80	43	300	300	63	63
4	4	1	65	65	110	80	44	300	300	65	65
4	5	1	60	60	110	80	45	300	300	60	60
4	6	1	60	60	80	110	46	300	300	60	60
4	7	1	60	60	80	110	47	300	300	60	60
4	8	1	58	58	80	80	48	300	300	58	58
4	9	1	59	59	110	80	49	300	300	59	59
5	0	1	60	60	110	80	50	300	300	60	60
5	1	1	60	60	80	110	51	300	300	60	60
5	2	1	60	60	110	80	52	300	300	60	60
5	3	1	63	63	80	110	53	300	300	63	63
5	4	1	65	65	110	80	54	300	300	65	65
5	5	1	60	60	110	80	55	300	300	60	60
5	6	1	60	60	110	80	56	300	300	60	60
5	7	1	60	60	80	80	57	300	300	60	60
5	8	1	58	58	80	110	58	300	300	58	58
5	9	1	59	59	110	80	59	300	300	59	59
6	0	1	50	50	80	80	60	300	300	50	50
6	1	1	50	50	80	110	61	300	300	50	50
6	2	1	50	50	80	80	62	300	300	50	50
6	3	1	53	53	110	80	63	300	300	53	53
6	4	1	46	46	110	80	64	300	300	46	46
6	5	1	50	50	110	80	65	300	300	50	50
6	6	1	50	50	80	110	66	300	300	50	50
6	7	1	50	50	80	110	67	300	300	50	50
6	8	1	48	48	80	80	68	300	300	48	48
6	9	1	49	49	110	80	69	300	300	49	49
7	0	1	50	50	110	80	70	300	300	50	50
7	1	1	50	50	80	80	71	300	300	50	50
7	2	1	50	50	110	80	72	300	300	50	50
7	3	1	53	53	110	80	73	300	300	53	53
7	4	1	46	46	110	80	74	300	300	46	46
7	5	1	50	50	110	80	75	300	300	50	50
7	6	1	50	50	110	80	76	300	300	50	50
7	7	1	50	50	80	80	77	300	300	50	50
7	8	1	48	48	80	110	78	300	300	48	48
7	9	1	49	49	110	80	79	300	300	49	49
8	0	1	50	50	80	80	80	300	300	50	50
8	1	1	50	50	110	80	81	300	300	50	50
8	2	1	50	50	110	80	82	300	300	50	50
8	3	1	53	53	80	110	83	300	300	53	53
8	4	1	46	46	110	80	84	300	300	46	46
8	5	1	50	50	110	80	85	300	300	50	50
8	6	1	50	50	110	80	86	300	300	50	50
8	7	1	50	50	80	80	87	300	300	50	50
8	8	1	48	48	110	80	88	300	300	48	48
8	9	1	49	49	110	80	89	300	300	49	49
9	0	1	84	86	80	80	90	300	300	84	86
9	1	1	86	84	80	110	91	300	300	86	84
9	2	1	86	86	80	110	92	300	300	86	86
9	3	1	84	86	110	80	93	300	300	84	86
9	4	1	84	86	80	110	94	300	300	84	86
9	5	1	84	86	80	80	95	300	300	84	86
9	6	1	86	84	110	80	96	300	300	86	84
9	7	1	86	86	110	80	97	300	300	86	86
9	8	1	84	86	80	80	98	300	300	84	86
9	9	1	84	86	110	80	99	300	300	84	86
