0	0	1	67	67	85	64	0
0	1	1	67	67	64	80	1
0	2	1	67	67	64	64	2
0	3	0	70	70	81	64	3
0	4	1	72	72	80	64	4
0	5	1	67	67	85	64	5
0	6	1	67	67	64	80	6
0	7	1	67	67	64	64	7
0	8	1	65	65	81	64	8
0	9	1	66	66	80	64	9
1	0	1	67	67	85	64	10
1	1	1	67	67	64	80	11
1	2	1	67	67	64	64	12
1	3	1	70	70	81	64	13
1	4	1	72	72	80	64	14
1	5	1	67	67	85	64	15
1	6	1	67	67	64	80	16
1	7	1	67	67	64	64	17
1	8	1	65	65	81	64	18
1	9	1	66	66	80	64	19
2	0	1	67	67	85	64	20
2	1	1	67	67	64	80	21
2	2	1	67	67	64	64	22
2	3	1	70	70	81	64	23
2	4	1	72	72	80	64	24
2	5	1	67	67	85	64	25
2	6	1	67	67	64	80	26
2	7	1	67	67	64	64	27
2	8	1	65	65	81	64	28
2	9	1	66	66	80	64	29
3	0	1	67	67	85	64	30
3	1	1	67	67	64	80	31
3	2	1	67	67	64	64	32
3	3	1	70	70	81	64	33
3	4	1	72	72	80	64	34
3	5	1	67	67	85	64	35
3	6	1	67	67	64	80	36
3	7	1	67	67	64	64	37
3	8	1	65	65	81	64	38
3	9	1	66	66	80	64	39
4	0	1	67	67	85	64	40
4	1	1	67	67	64	80	41
4	2	1	67	67	64	64	42
4	3	1	70	70	81	64	43
4	4	1	72	72	80	64	44
4	5	1	67	67	85	64	45
4	6	1	67	67	64	80	46
4	7	1	67	67	64	64	47
4	8	1	65	65	81	64	48
4	9	1	66	66	80	64	49
5	0	1	67	67	85	64	50
5	1	1	67	67	64	80	51
5	2	1	67	67	64	64	52
5	3	0	70	70	81	64	53
5	4	1	72	72	80	64	54
5	5	1	67	67	85	64	55
5	6	1	67	67	64	80	56
5	7	1	67	67	64	64	57
5	8	1	65	65	81	64	58
5	9	1	66	66	80	64	59
6	0	1	67	67	85	64	60
6	1	1	67	67	64	80	61
6	2	1	67	67	64	64	62
6	3	1	70	70	81	64	63
6	4	1	72	72	80	64	64
6	5	1	67	67	85	64	65
6	6	1	67	67	64	80	66
6	7	1	67	67	64	64	67
6	8	1	65	65	81	64	68
6	9	1	66	66	80	64	69
7	0	1	67	67	85	64	70
7	1	1	67	67	64	80	71
7	2	1	67	67	64	64	72
7	3	1	70	70	81	64	73
7	4	1	72	72	80	64	74
7	5	1	67	67	85	64	75
7	6	1	67	67	64	80	76
7	7	1	67	67	64	64	77
7	8	1	65	65	81	64	78
7	9	1	66	66	80	64	79
8	0	1	67	67	85	64	80
8	1	1	67	67	64	80	81
8	2	1	67	67	64	64	82
8	3	1	70	70	81	64	83
8	4	1	72	72	80	64	84
8	5	1	67	67	85	64	85
8	6	1	67	67	64	80	86
8	7	1	67	67	64	64	87
8	8	1	65	65	81	64	88
8	9	1	66	66	80	64	89
9	0	1	67	67	85	64	90
9	1	1	67	67	64	80	91
9	2	1	67	67	64	64	92
9	3	1	70	70	81	64	93
9	4	1	72	72	80	64	94
9	5	1	67	67	85	64	95
9	6	1	67	67	64	80	96
9	7	1	67	67	64	64	97
9	8	1	65	65	81	64	98
9	9	1	66	66	80	64	99
